seed,Time(h),model,Coverage,Mean,Std_Dev,CSV_Coverage,DSV_Coverage,New_locs,Cov_Efficiency,CovDev_Vehicle_Path,Mean_Runtime
42,2009-01-03 00:59:00,AGD-C,3900.0,0.19119656451298067,0.3954708856114394,3678.0,240.0,222.0,0.925,0.26339134382131846,0.16877007484436035
42,2009-01-03 01:59:00,AGD-C,4533.0,0.22198906890493852,0.4174583897832704,4309.0,240.0,224.0,0.9333333333333333,0.24944382578492943,0.16854310035705566
42,2009-01-03 02:59:00,AGD-C,4157.0,0.20447003708764397,0.4072871347116654,3950.0,240.0,207.0,0.8625,0.3443744328488978,0.1721348762512207
42,2009-01-03 03:59:00,AGD-C,4184.0,0.20529962912356042,0.4066896480799773,3967.0,240.0,217.0,0.9041666666666667,0.2943625410196677,0.18073487281799316
42,2009-01-03 04:59:00,AGD-C,4083.0,0.20041967597111068,0.40322947184936964,3867.0,240.0,216.0,0.9,0.30000000000000004,0.1744849681854248
42,2009-01-03 05:59:00,AGD-C,4440.0,0.2182803045090767,0.4169589695079341,4233.0,240.0,207.0,0.8625,0.3443744328488978,0.16277360916137695
42,2009-01-03 06:59:00,AGD-C,4328.0,0.21266835838375953,0.41275719208462763,4118.0,240.0,210.0,0.875,0.33071891388307384,0.1887960433959961
42,2009-01-03 07:59:00,AGD-C,4789.0,0.23536014054265078,0.42811693838256415,4583.0,240.0,206.0,0.8583333333333333,0.3487079325484613,0.17969989776611328
42,2009-01-03 08:59:00,AGD-C,4441.0,0.21818270544602772,0.4165416958501867,4231.0,240.0,210.0,0.875,0.33071891388307384,0.17688918113708496
42,2009-01-03 09:59:00,AGD-C,4490.0,0.2203786843646301,0.417551787784005,4276.0,240.0,214.0,0.8916666666666667,0.3108009366495253,0.1661376953125
42,2009-01-03 10:59:00,AGD-C,4125.0,0.20237165723209058,0.4044311424313238,3907.0,240.0,218.0,0.9083333333333333,0.28855482821967976,0.16228818893432617
42,2009-01-03 11:59:00,AGD-C,3713.0,0.18187585399180167,0.3875092445468113,3487.0,240.0,226.0,0.9416666666666667,0.2343726851737539,0.2092578411102295
42,2009-01-03 12:59:00,AGD-C,3499.0,0.17157915284013273,0.37920829529775324,3276.0,240.0,223.0,0.9291666666666667,0.2565462379810357,0.18118572235107422
42,2009-01-03 13:59:00,AGD-C,3143.0,0.15376732383369118,0.3618062001391186,2911.0,240.0,232.0,0.9666666666666667,0.1795054935711501,0.17265081405639648
42,2009-01-03 14:59:00,AGD-C,2476.0,0.12131563536990045,0.3279849731545452,2246.0,240.0,230.0,0.9583333333333334,0.19982631347136337,0.19133520126342773
42,2009-01-03 15:59:00,AGD-C,1913.0,0.09364630099551044,0.29233929890396654,1679.0,240.0,234.0,0.975,0.15612494995995996,0.17029309272766113
42,2009-01-03 16:59:00,AGD-C,1633.0,0.07993363263712669,0.2720886662942882,1398.0,240.0,235.0,0.9791666666666666,0.1428261375083551,0.16646981239318848
42,2009-01-03 17:59:00,AGD-C,1508.0,0.07383369119656451,0.26243146258804384,1273.0,240.0,235.0,0.9791666666666666,0.1428261375083551,0.17719078063964844
42,2009-01-03 18:59:00,AGD-C,1367.0,0.0668065586570369,0.25007726906606037,1129.0,240.0,238.0,0.9916666666666667,0.09090593428863095,0.18322086334228516
42,2009-01-03 19:59:00,AGD-C,1207.0,0.05909623267616631,0.23663107194924066,971.0,240.0,236.0,0.9833333333333333,0.12801909579781015,0.16363883018493652
42,2009-01-03 20:59:00,AGD-C,1264.0,0.061780206910013666,0.24116096506331108,1026.0,240.0,238.0,0.9916666666666667,0.09090593428863095,0.17292499542236328
42,2009-01-03 21:59:00,AGD-C,1735.0,0.08476478625805192,0.2788815436610617,1497.0,240.0,238.0,0.9916666666666667,0.09090593428863095,0.15898489952087402
42,2009-01-03 22:59:00,AGD-C,2218.0,0.10862775717353114,0.3124236867610576,1986.0,240.0,232.0,0.9666666666666667,0.1795054935711501,0.16642379760742188
42,2009-01-03 23:59:00,AGD-C,3447.0,0.16879757954323638,0.3761331485527022,3219.0,240.0,228.0,0.95,0.2179449471770337,0.22524213790893555
42,2023-01-01 50:00:00,AGD-C,3191.375,0.15651839742338472,0.35438204508559684,2967.375,240.0,224.0,0.9333333333333335,0.22981930817055773,0.17666963736216226
42,2023-01-01 100:00:00,AGD-C,9463.0,3.756636736287332,6.592290448219982,9310.0,244.0,153.0,0.0265625,3.514482265607566,452.1152250766754
